Module Code,Module Name,Number of Students,Department/School/Institute,Academic Year,Period
ELEM029,Antennas for Mobile Applications,6,School of Engineering & Computer Science,2011/12,SEM2
ELEM031,Business Technology Strategy,19,School of Engineering & Computer Science,2011/12,SEM1
ELEM032,Digital Broadcasting,31,School of Engineering & Computer Science,2011/12,SEM1
ELEM035,Music Analysis and Synthesis,7,School of Engineering & Computer Science,2011/12,SEM2
ELEM036,Digital Audio Effects,9,School of Engineering & Computer Science,2011/12,SEM2
ELEM038,Mobile Services,10,School of Engineering & Computer Science,2011/12,SEM2
ELEM041,Machine Learning,10,School of Engineering & Computer Science,2011/12,SEM2
ELEM044,Contemporary Studio Production,0,School of Engineering & Computer Science,2011/12,YEAR
ELEM406,Network Programming,6,School of Engineering & Computer Science,2011/12,SEM2
ELS007,Research Writing Workshop,0,School of Languages Linguistics and Film,2011/12,SEM2
ELS024,English Through Literature,0,School of Languages Linguistics and Film,2011/12,SEM1
ELS024,English Through Literature,0,School of Languages Linguistics and Film,2011/12,SEM2
ELS025,Excellence in Writing at University 1,0,School of Languages Linguistics and Film,2011/12,SEM1
ELS025,Excellence in Writing at University 1,0,School of Languages Linguistics and Film,2011/12,SEM2
ELS026,Excellence in Writing at University 2,0,School of Languages Linguistics and Film,2011/12,SEM2
ELS030,English in Social Settings 1,0,School of Languages Linguistics and Film,2011/12,SEM2
ELS031,English in Social Settings 2,0,School of Languages Linguistics and Film,2011/12,SEM2
ELS034,Grammar in Context 1,0,School of Languages Linguistics and Film,2011/12,SEM2
ELS035,Grammar in Context 2,0,School of Languages Linguistics and Film,2011/12,SEM2
ELS102,Effective Presentation Skills,0,School of Languages Linguistics and Film,2011/12,SEM1
ELS102,Effective Presentation Skills,0,School of Languages Linguistics and Film,2011/12,SEM2
ELS110,Academic Listening,0,School of Languages Linguistics and Film,2011/12,SEM2
ELS111,Effective Participation in Seminars,0,School of Languages Linguistics and Film,2011/12,SEM1
BBF7000,Chinese Compulsory Topics,497,School of Engineering & Computer Science,2011/12,SEM1
POL322,Case Studies in Ethnic Conflict: Northern Ireland,2,School of Politics & International Relations,2011/12,SEM1
GEG6302,Researching Global Change: Internship,3,School of Geography,2011/12,SEM1
BBU5366,Microwave and Optical Transmission,216,School of Engineering & Computer Science,2011/12,SEM2
ELS007,Research Writing Workshop,0,School of Languages Linguistics and Film,2011/12,SEM1
BBU725U,Wireless Networks,313,School of Engineering & Computer Science,2011/12,SEM1
BDS41A1,BDS Part 1 Section A,66,Dental School / Institute of Dentistry,2011/12,YEAR
BDS41B1,BDS Part 1 Section B,65,Dental School / Institute of Dentistry,2011/12,YEAR
BDS52A1,BDS Part 2 Section A,77,Dental School / Institute of Dentistry,2011/12,YEAR
BDS52A1,BDS Part 2 Section A,0,Dental School / Institute of Dentistry,2011/12,SEM1
BDS52B1,BDS Part 2 Section B,77,Dental School / Institute of Dentistry,2011/12,YEAR
BDS52B1,BDS Part 2 Section B,0,Dental School / Institute of Dentistry,2011/12,SEM1
BDS63A1,BDS Part 3 Section A,83,Dental School / Institute of Dentistry,2011/12,YEAR
BDS63B1,BDS Part 3 Section B,83,Dental School / Institute of Dentistry,2011/12,YEAR
BDS63T4,BDS Development Year 3 to 4 Progression Module,83,Dental School / Institute of Dentistry,2011/12,YEAR
BDS74A1,BDS Part 4 Section A,78,Dental School / Institute of Dentistry,2011/12,YEAR
BDS74B1,BDS Part 4 Section B,78,Dental School / Institute of Dentistry,2011/12,YEAR
BDS74T5,BDS Development Year 4 to 5 Progression Module,77,Dental School / Institute of Dentistry,2011/12,YEAR
BUS001,Fundamentals of Management,164,School of Business & Management,2011/12,SEM1
BUS002,Operations Management,221,School of Business & Management,2011/12,SEM1
BUS007,Research Methodology,94,School of Business & Management,2011/12,SEM2
BUS011,Marketing,147,School of Business & Management,2011/12,SEM2
BUS017,Economics for Business,409,School of Business & Management,2011/12,SEM2
BUS021,Financial Accounting,234,School of Business & Management,2011/12,SEM1
BUS022,Managerial Accounting,101,School of Business & Management,2011/12,SEM2
BUS106,Accounting for Business,3,School of Business & Management,2011/12,SEM1
BUS115,Academic Skills,228,School of Business & Management,2011/12,SEM1
BUS117,Introduction to Marketing and Communications,240,School of Business & Management,2011/12,SEM1
BUS124,Work and Employment,223,School of Business & Management,2011/12,SEM2
BUS126,Business and Society,228,School of Business & Management,2011/12,SEM1
BUS201,Financial Institutions,205,School of Business & Management,2011/12,SEM1
BUS201,Financial Institutions,2,School of Business & Management,2011/12,SEM1
BUS204,Strategy,252,School of Business & Management,2011/12,SEM1
BUS205,Business Law,195,School of Business & Management,2011/12,SEM1
BUS206,Coordination and Social Dynamics,69,School of Business & Management,2011/12,SEM1
BUS206,Coordination and Social Dynamics,3,School of Business & Management,2011/12,SEM1
ELS111,Effective Participation in Seminars,0,School of Languages Linguistics and Film,2011/12,SEM2
ELS113,Preparing for Your First Assignment,0,School of Languages Linguistics and Film,2011/12,SEM2
ELS114,The Process of Writing,0,School of Languages Linguistics and Film,2011/12,SEM1
ELS301,Critical Thinking and Writing in Law: Literacy Development,0,School of Languages Linguistics and Film,2011/12,SEM1
ELS303,Critical Thinking and Writing in Law: LLM Dissertation Writing,353,School of Languages Linguistics and Film,2011/12,SEM2
ELS4001,Engaging Critically with Writing,0,School of Languages Linguistics and Film,2011/12,SEM1
ELS4001,Engaging Critically with Writing,0,School of Languages Linguistics and Film,2011/12,SEM2
ELS4002,Exploring Spoken English,0,School of Languages Linguistics and Film,2011/12,SEM2
ENLM001,The Production of Texts in Context,17,School of English & Drama - Department of English,2011/12,SEM1
ENLM002,Dissertation,15,School of English & Drama - Department of English,2011/12,YEAR
ESD001,Drapers' Skills Award,19,The Learning Institute,2011/12,YEAR
ESD7002,Researching Higher Education Practice,3,The Learning Institute,2011/12,YEAR
JRN329,Arts and Culture Specialism - City University,3,Module taken at City University London,2011/12,YEAR
ESDM010,Developing an Academic Career,25,The Learning Institute,2011/12,YEAR
ESDM012,Learning and Teaching in HE,11,The Learning Institute,2011/12,SEM1
ESH101,Shakespeare,238,School of English & Drama - Department of English,2011/12,YEAR
ESH101A,Shakespeare I,13,School of English & Drama - Department of English,2011/12,SEM1
ESH104,Poetry: a Basic Course,193,School of English & Drama - Department of English,2011/12,YEAR
ESH104A,Poetry: a Basic Course I,9,School of English & Drama - Department of English,2011/12,SEM1
ESH110,Literatures in Time: Texts and Contexts from the Eighth to the Sixteenth Century,191,School of English & Drama - Department of English,2011/12,YEAR
ESH201A,"Imagination and Knowledge: English Romantic Literature, 1770-1825 I",5,School of English & Drama - Department of English,2011/12,SEM1
LAW6012,Sentencing and Penal Policy,11,School of Law / Centre for Commercial Law Studies,2011/12,YEAR
ESH213,Modernism,91,School of English & Drama - Department of English,2011/12,YEAR
ESH218,Postcolonial Literatures in English,56,School of English & Drama - Department of English,2011/12,YEAR
ESH219,Representing London: the Eighteenth Century,74,School of English & Drama - Department of English,2011/12,YEAR
ESH219A,Representing London: the Eighteenth Century I,11,School of English & Drama - Department of English,2011/12,SEM1
LAW6012B,Penal Policy,0,School of Law / Centre for Commercial Law Studies,2011/12,SEM2
ESH227,"Text, Art and Performance in London",54,School of English & Drama - Department of English,2011/12,SEM2
ESH230A,Women Writing in the Romantic Period I,1,School of English & Drama - Department of English,2011/12,SEM1
ESH241,The Dickens City,11,School of English & Drama - Department of English,2011/12,YEAR
ESH241A,The Dickens City I,6,School of English & Drama - Department of English,2011/12,SEM1
ESH243A,Architexts I,2,School of English & Drama - Department of English,2011/12,SEM1
LAW6012A,Sentencing,1,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
ESH250,Chaucer,21,School of English & Drama - Department of English,2011/12,YEAR
ESH250A,Chaucer,2,School of English & Drama - Department of English,2011/12,SEM1
ESH253,Introduction to Old English,15,School of English & Drama - Department of English,2011/12,SEM2
ESH256,Writing the First World War,35,School of English & Drama - Department of English,2011/12,SEM2
ESH258,Early Modern Drama and Social Process I,18,School of English & Drama - Department of English,2011/12,YEAR
ESH259,Early Modern Drama and Social Process I: Further Study,9,School of English & Drama - Department of English,2011/12,SEM2
ELE700,Project,10,School of Engineering & Computer Science,2011/12,YEAR
ESH264,"Terror, Transgression and Astonishment: the Gothic in the Long Nineteenth Century",54,School of English & Drama - Department of English,2011/12,SEM1
BUS208,Microeconomics for Managers,131,School of Business & Management,2011/12,SEM1
BUS208,Microeconomics for Managers,2,School of Business & Management,2011/12,SEM1
BUS211,Governance and Business Strategy,108,School of Business & Management,2011/12,SEM2
BUS212,Ethics and Business,147,School of Business & Management,2011/12,SEM2
BUS215,Occupational Psychology,158,School of Business & Management,2011/12,SEM2
BUS300,Innovation and Entrepreneurship,183,School of Business & Management,2011/12,SEM2
BUS304,International Business,182,School of Business & Management,2011/12,SEM2
BUS305,Managing Diversity,199,School of Business & Management,2011/12,SEM1
BUS306,Financial Management,150,School of Business & Management,2011/12,SEM1
BUS306,Financial Management,6,School of Business & Management,2011/12,SEM1
LIN7021,Advanced Semantic Theory,2,School of Languages Linguistics and Film,2011/12,SEM2
BUS311,Social Networks,108,School of Business & Management,2011/12,SEM1
BUS314,Business Management Dissertation,19,School of Business & Management,2011/12,YEAR
BUS316,Social and Political Marketing,152,School of Business & Management,2011/12,SEM1
BUS316,Social and Political Marketing,3,School of Business & Management,2011/12,SEM1
BUS320,Employment Relations,167,School of Business & Management,2011/12,SEM2
BUS324,The Management of Human Resources,102,School of Business & Management,2011/12,SEM2
BUSM003,Dissertation,191,School of Business & Management,2011/12,YEAR
BUSM013,Qualitative Research Methods,23,School of Business & Management,2011/12,SEM2
BUSM015,International Human Resource Management,88,School of Business & Management,2011/12,SEM1
BUSM016,Comparative Employment Relations,19,School of Business & Management,2011/12,SEM1
BUSM017,Managing Diversity,19,School of Business & Management,2011/12,SEM2
BUSM023,Innovation and Global Competition,79,School of Business & Management,2011/12,SEM2
BUSM027,Research Methods for Business and Management,191,School of Business & Management,2011/12,SEM1
BUSM030,Corporate Finance for Managers,36,School of Business & Management,2011/12,SEM2
BUSM041,International Macroeconomics and Finance,47,School of Business & Management,2011/12,SEM1
BUSM043,International Marketing,125,School of Business & Management,2011/12,SEM1
BUSM044,E-Marketing,50,School of Business & Management,2011/12,SEM2
BUSM054,Financial Reporting,45,School of Business & Management,2011/12,SEM1
BUSM055,Occupational Psychology,84,School of Business & Management,2011/12,SEM2
BUSM062,Public Advocacy Marketing,17,School of Business & Management,2011/12,SEM2
BUSM063,"State, Market and Society - Concepts and Critique",190,School of Business & Management,2011/12,SEM1
CAN7001,Laparoscopy Skills,12,Barts Cancer Institute,2011/12,SEM1
CAN7001,Laparoscopy Skills,0,Barts Cancer Institute,2011/12,SEM3
CAN7002,Skills for Laparoscopic Hysterectomy,0,Barts Cancer Institute,2011/12,SEM1
CAN7002,Skills for Laparoscopic Hysterectomy,0,Barts Cancer Institute,2011/12,SEM2
CAN7003,Open Surgical Skills,0,Barts Cancer Institute,2011/12,SEM1
CAN7003,Open Surgical Skills,0,Barts Cancer Institute,2011/12,SEM2
CAN7004,Laparoscopic Suturing Skills,12,Barts Cancer Institute,2011/12,SEM1
CAN7004,Laparoscopic Suturing Skills,0,Barts Cancer Institute,2011/12,SEM3
CAN7005,Laparoscopic Procedure Skills (Cholecystectomy),12,Barts Cancer Institute,2011/12,SEM2
CAN7006,Endoscopy Skills,12,Barts Cancer Institute,2011/12,SEM2
CAN7007,Research Methods,12,Barts Cancer Institute,2011/12,SEM1
ESH265,Advanced Research Skills,163,School of English & Drama - Department of English,2011/12,SEM2
ESH268,Seducing Narratives: the Novel in the Eighteenth Century,33,School of English & Drama - Department of English,2011/12,SEM1
ESH314,James Joyce's Ulysses,18,School of English & Drama - Department of English,2011/12,SEM1
ESH314,James Joyce's Ulysses,17,School of English & Drama - Department of English,2011/12,SEM2
GEG7121,Introduction to Social Science Research Methods,3,School of Geography,2011/12,SEM1
ESH319,Michel Foucault,34,School of English & Drama - Department of English,2011/12,SEM1
ESH330,Virginia Woolf,45,School of English & Drama - Department of English,2011/12,SEM1
HST4000,The Methods of History,27,School of History,2011/12,SEM1
ESH337,Contemporary Writing,88,School of English & Drama - Department of English,2011/12,SEM1
HST4101,Latin for Medievalists I,23,School of History,2011/12,SEM2
ESH350,Modernism and Democracy,35,School of English & Drama - Department of English,2011/12,SEM2
LCMM052,Writing the East End,15,School of English & Drama - Department of English,2011/12,SEM2
RENM030,Reading Shakespeare Historically,9,School of English & Drama - Department of English,2011/12,SEM2
ESH365,English Dissertation,168,School of English & Drama - Department of English,2011/12,YEAR
ESH369,"Translation, Colonialism and Postcolonialism I",34,School of English & Drama - Department of English,2011/12,SEM2
HST4106,"History of the Medieval Islamic World, 600-1500",58,School of History,2011/12,SEM2
LAW6010A,United Kingdom Human Rights Law A,6,School of Law / Centre for Commercial Law Studies,2011/12,SEM1
ESH377,Narratives of Magic and Witchcraft,19,School of English & Drama - Department of English,2011/12,SEM1
ESH378,Thomas Hardy and History,13,School of English & Drama - Department of English,2011/12,SEM2
ESH379,"Writing South Africa: Race, Nation and Text",18,School of English & Drama - Department of English,2011/12,SEM2
DEN4108,Engineering Mechanics: Dynamics,223,School of Engineering & Material Science,2011/12,SEM2
ESH381,DH Lawrence: Controversy and Legacy,17,School of English & Drama - Department of English,2011/12,SEM1
ESH382,Reading Childhood/Writing Children,38,School of English & Drama - Department of English,2011/12,SEM2
